crime,log_pibpc,pop_scales,edad_media,ratio_mh,urban,densidad,hab_dom
Sim,10.597594522350972,De 50.001 a 100.000,35.4,100.3,"(97.5,100]","(100,500]",3.11
Sim,10.468412933885189,Mais de 100.000,35.3,103.9,"(95,97.5]","(100,500]",2.87
Sim,9.66102738080526,Mais de 100.000,34.7,105.9,"(97.5,100]","(500, Inf]",3
Sim,9.994177073519728,De 10.001 a 50.000,39.8,104.4,"(90,95]","(-Inf,25]",2.61
Sim,10.341569887928369,De 10.001 a 50.000,37.3,90.9,"(80,90]","(25,50]",3.13
Não,11.170456141718745,Até 10.000,39.1,97.1,"(-Inf,80]","(-Inf,25]",2.82
Sim,10.439272192428307,De 10.001 a 50.000,36.5,102.2,"(-Inf,80]","(-Inf,25]",2.97
Não,10.522650407143999,Mais de 100.000,39.2,106.1,"(97.5,100]","(100,500]",2.75
Sim,9.77740378593819,Até 10.000,37.9,98.2,"(90,95]","(50,100]",2.84
Sim,10.653977504941041,Até 10.000,39.4,101.6,"(80,90]","(25,50]",2.82
Sim,10.570138795492106,De 10.001 a 50.000,36.1,103.3,"(90,95]","(25,50]",2.88
Sim,10.650316011478921,De 10.001 a 50.000,36.9,102.3,"(90,95]","(100,500]",2.9
Sim,10.207101904494387,De 10.001 a 50.000,36,93.8,"(-Inf,80]","(50,100]",3.1
Sim,9.887612711378726,De 10.001 a 50.000,35.6,97.6,"(90,95]","(50,100]",3.05
Não,9.86733173777967,Até 10.000,34.5,94,"(95,97.5]","(25,50]",2.91
Sim,10.912157628052569,De 10.001 a 50.000,37.9,103.4,"(95,97.5]","(25,50]",2.9
Não,10.72923106368632,Até 10.000,36.2,98.3,"(-Inf,80]","(-Inf,25]",2.94
Sim,10.179121841017036,De 10.001 a 50.000,34.9,99,"(95,97.5]","(100,500]",3.08
Não,10.013963064268882,De 10.001 a 50.000,37.1,100.4,"(80,90]","(25,50]",2.89
Sim,11.772276038984947,De 10.001 a 50.000,36.1,99.4,"(80,90]","(100,500]",2.94
Sim,10.244914636459445,Até 10.000,37.6,101.7,"(80,90]","(-Inf,25]",2.76
Não,9.792675537755573,Até 10.000,37.7,96.8,"(80,90]","(-Inf,25]",2.75
Sim,10.988417496709951,Até 10.000,37.5,99.2,"(-Inf,80]","(-Inf,25]",2.81
Sim,10.115975332232333,De 50.001 a 100.000,35.1,101.4,"(90,95]","(100,500]",2.93
Sim,10.800960739760836,Até 10.000,41.6,100.7,"(-Inf,80]","(-Inf,25]",2.57
Sim,10.916119205545474,Mais de 100.000,33.8,104.4,"(97.5,100]","(500, Inf]",3.09
Sim,10.491163377962446,De 10.001 a 50.000,36.5,100.8,"(97.5,100]","(100,500]",3.04
Sim,10.086859390924559,Até 10.000,36.4,97.7,"(80,90]","(-Inf,25]",2.88
Não,10.794142887538442,Até 10.000,40.1,107,"(-Inf,80]","(-Inf,25]",2.66
Sim,10.305061098328585,De 50.001 a 100.000,37.2,105.9,"(97.5,100]","(100,500]",3.01
Sim,11.673772076924173,Mais de 100.000,34.9,101.5,"(97.5,100]","(500, Inf]",2.84
Sim,9.410526404553705,De 10.001 a 50.000,37.9,97.4,"(-Inf,80]","(-Inf,25]",2.77
Sim,10.785694371280176,De 10.001 a 50.000,38.7,103.6,"(90,95]","(25,50]",2.89
Sim,10.544977425095185,Mais de 100.000,34.5,106.7,"(97.5,100]","(500, Inf]",2.91
Não,10.179627267532634,Até 10.000,40.9,98,"(80,90]","(-Inf,25]",2.64
Sim,10.255316624178265,De 10.001 a 50.000,39.7,103.1,"(-Inf,80]","(25,50]",2.85
Sim,9.448595565098449,Até 10.000,34.1,95,"(97.5,100]","(50,100]",2.8
Não,10.136641234895636,De 10.001 a 50.000,35.7,100.2,"(95,97.5]","(25,50]",3
Não,10.049346522380679,Até 10.000,41,93.4,"(90,95]","(25,50]",2.66
Não,10.993517619063413,Até 10.000,39.7,99.2,"(90,95]","(25,50]",2.72
Sim,10.267146501437251,De 10.001 a 50.000,39.8,103.4,"(90,95]","(50,100]",2.82
Não,9.893176071476073,De 10.001 a 50.000,39.7,107,"(90,95]","(25,50]",2.77
Sim,9.93423302904195,Até 10.000,36.1,100.4,"(97.5,100]","(50,100]",2.94
Sim,9.896451859995008,Até 10.000,38.1,104.1,"(80,90]","(-Inf,25]",2.84
Não,9.91395705552681,De 10.001 a 50.000,33.6,98.2,"(-Inf,80]","(-Inf,25]",3.11
Sim,10.64202459898862,De 10.001 a 50.000,35.7,94.6,"(80,90]","(50,100]",3.1
Não,9.841250913367604,Até 10.000,38.1,92.9,"(90,95]","(25,50]",2.83
Não,10.012518623456202,Até 10.000,39.3,93.4,"(80,90]","(25,50]",2.73
Sim,10.915005369853276,Mais de 100.000,33.4,105.8,"(97.5,100]","(500, Inf]",3.09
Sim,9.794451958710326,De 50.001 a 100.000,34.8,102.3,"(95,97.5]","(100,500]",3.05
Não,9.901728005440667,Até 10.000,40.1,100.1,"(80,90]","(-Inf,25]",2.68
Sim,10.18315433822874,De 10.001 a 50.000,32.8,92.7,"(-Inf,80]","(100,500]",2.87
Sim,10.492203230216656,De 10.001 a 50.000,38.8,104.7,"(90,95]","(100,500]",2.91
Sim,9.653788889631588,Até 10.000,34.4,100.6,"(80,90]","(25,50]",2.85
Não,10.829358645843106,Até 10.000,40.2,99.7,"(80,90]","(25,50]",2.71
Não,9.852994990108735,Até 10.000,37,96.6,"(80,90]","(-Inf,25]",2.92
Não,9.565195460982993,Até 10.000,35.9,100.8,"(-Inf,80]","(-Inf,25]",2.85
Sim,10.08986296467723,De 10.001 a 50.000,37.9,107.3,"(80,90]","(25,50]",2.84
